Initial Investment:		1
Recurring Monthly Investment:	1
Start Month:			1
Start Year:			1
End Month:			12
End Year:			10000
Annual Rate of Return (%):	1
--- Output ---
3293.01) */*/*/*%
3293.02) */*/*/*%
3293.03) */*/*/*%
3293.04) */*/*/*%
3293.05) */*/*/*%
3293.06) */*/*/*%
3293.07) */*/*/*%
3293.08) */*/*/*%
3293.09) */*/*/*%
3293.10) */*/*/*%
3293.11) */*/*/*%
3293.12) */*/*/*%
3294.01) */*/*/*%
3294.02) */*/*/*%
3294.03) */*/*/*%
3294.04) */*/*/*%
3294.05) */*/*/*%
3294.06) */*/*/*%
3294.07) */*/*/*%
3294.08) */*/*/*%
3294.09) */*/*/*%
3294.10) */*/*/*%
3294.11) */*/*/*%
3294.12) */*/*/*%
3295.01) */*/*/*%
3295.02) */*/*/*%
3295.03) */*/*/*%
3295.04) */*/*/*%
3295.05) */*/*/*%
3295.06) */*/*/*%
3295.07) */*/*/*%
3295.08) */*/*/*%
3295.09) */*/*/*%
3295.10) */*/*/*%
3295.11) */*/*/*%
3295.12) */*/*/*%
3296.01) */*/*/*%
3296.02) */*/*/*%
3296.03) */*/*/*%
3296.04) */*/*/*%
3296.05) */*/*/*%
3296.06) */*/*/*%
3296.07) */*/*/*%
3296.08) */*/*/*%
3296.09) */*/*/*%
3296.10) */*/*/*%
3296.11) */*/*/*%
3296.12) */*/*/*%
3297.01) */*/*/*%
3297.02) */*/*/*%
3297.03) */*/*/*%
3297.04) */*/*/*%
3297.05) */*/*/*%
3297.06) */*/*/*%
3297.07) */*/*/*%
3297.08) */*/*/*%
3297.09) */*/*/*%
3297.10) */*/*/*%
3297.11) */*/*/*%
3297.12) */*/*/*%
3298.01) */*/*/*%
3298.02) */*/*/*%
3298.03) */*/*/*%
3298.04) */*/*/*%
3298.05) */*/*/*%
3298.06) */*/*/*%
3298.07) */*/*/*%
3298.08) */*/*/*%
3298.09) */*/*/*%
3298.10) */*/*/*%
3298.11) */*/*/*%
3298.12) */*/*/*%
3299.01) */*/*/*%
3299.02) */*/*/*%
3299.03) */*/*/*%
3299.04) */*/*/*%
3299.05) */*/*/*%
3299.06) */*/*/*%
3299.07) */*/*/*%
3299.08) */*/*/*%
3299.09) */*/*/*%
3299.10) */*/*/*%
3299.11) */*/*/*%
3299.12) */*/*/*%
3300.01) */*/*/*%
3300.02) */*/*/*%
3300.03) */*/*/*%
3300.04) */*/*/*%
3300.05) */*/*/*%
3300.06) */*/*/*%
3300.07) */*/*/*%
3300.08) */*/*/*%
3300.09) */*/*/*%
3300.10) */*/*/*%
3300.11) */*/*/*%
3300.12) */*/*/*%
3301.01) */*/*/*%
3301.02) */*/*/*%
3301.03) */*/*/*%
3301.04) */*/*/*%
3301.05) */*/*/*%
3301.06) */*/*/*%
3301.07) */*/*/*%
3301.08) */*/*/*%
3301.09) */*/*/*%
3301.10) */*/*/*%
3301.11) */*/*/*%
3301.12) */*/*/*%
3302.01) */*/*/*%
3302.02) */*/*/*%
3302.03) */*/*/*%
3302.04) */*/*/*%
3302.05) */*/*/*%
3302.06) */*/*/*%
3302.07) */*/*/*%
3302.08) */*/*/*%
3302.09) */*/*/*%
3302.10) */*/*/*%
3302.11) */*/*/*%
3302.12) */*/*/*%
3303.01) */*/*/*%
3303.02) */*/*/*%
3303.03) */*/*/*%
3303.04) */*/*/*%
3303.05) */*/*/*%
3303.06) */*/*/*%
3303.07) */*/*/*%
3303.08) */*/*/*%
3303.09) */*/*/*%
3303.10) */*/*/*%
3303.11) */*/*/*%
3303.12) */*/*/*%
3304.01) */*/*/*%
3304.02) */*/*/*%
3304.03) */*/*/*%
3304.04) */*/*/*%
3304.05) */*/*/*%
3304.06) */*/*/*%
3304.07) */*/*/*%
3304.08) */*/*/*%
3304.09) */*/*/*%
3304.10) */*/*/*%
3304.11) */*/*/*%
3304.12) */*/*/*%
3305.01) */*/*/*%
3305.02) */*/*/*%
3305.03) */*/*/*%
3305.04) */*/*/*%
3305.05) */*/*/*%
3305.06) */*/*/*%
3305.07) */*/*/*%
3305.08) */*/*/*%
3305.09) */*/*/*%
3305.10) */*/*/*%
3305.11) */*/*/*%
3305.12) */*/*/*%
3306.01) */*/*/*%
3306.02) */*/*/*%
3306.03) */*/*/*%
3306.04) */*/*/*%
3306.05) */*/*/*%
3306.06) */*/*/*%
3306.07) */*/*/*%
3306.08) */*/*/*%
3306.09) */*/*/*%
3306.10) */*/*/*%
3306.11) */*/*/*%
3306.12) */*/*/*%
3307.01) */*/*/*%
3307.02) */*/*/*%
3307.03) */*/*/*%
3307.04) */*/*/*%
3307.05) */*/*/*%
3307.06) */*/*/*%
3307.07) */*/*/*%
3307.08) */*/*/*%
3307.09) */*/*/*%
3307.10) */*/*/*%
3307.11) */*/*/*%
3307.12) */*/*/*%
3308.01) */*/*/*%
3308.02) */*/*/*%
3308.03) */*/*/*%
3308.04) */*/*/*%
3308.05) */*/*/*%
3308.06) */*/*/*%
3308.07) */*/*/*%
3308.08) */*/*/*%
3308.09) */*/*/*%
3308.10) */*/*/*%
3308.11) */*/*/*%
3308.12) */*/*/*%
3309.01) */*/*/*%
3309.02) */*/*/*%
3309.03) */*/*/*%
3309.04) */*/*/*%
3309.05) */*/*/*%
3309.06) */*/*/*%
3309.07) */*/*/*%
3309.08) */*/*/*%
3309.09) */*/*/*%
3309.10) */*/*/*%
3309.11) */*/*/*%
3309.12) */*/*/*%
3310.01) */*/*/*%
3310.02) */*/*/*%
3310.03) */*/*/*%
3310.04) */*/*/*%
3310.05) */*/*/*%
3310.06) */*/*/*%
3310.07) */*/*/*%
3310.08) */*/*/*%
3310.09) */*/*/*%
3310.10) */*/*/*%
3310.11) */*/*/*%
3310.12) */*/*/*%
3311.01) */*/*/*%
3311.02) */*/*/*%
3311.03) */*/*/*%
3311.04) */*/*/*%
3311.05) */*/*/*%
3311.06) */*/*/*%
3311.07) */*/*/*%
3311.08) */*/*/*%
3311.09) */*/*/*%
3311.10) */*/*/*%
3311.11) */*/*/*%
3311.12) */*/*/*%
3312.01) */*/*/*%
3312.02) */*/*/*%
3312.03) */*/*/*%
3312.04) */*/*/*%
3312.05) */*/*/*%
3312.06) */*/*/*%
3312.07) */*/*/*%
3312.08) */*/*/*%
3312.09) */*/*/*%
3312.10) */*/*/*%
3312.11) */*/*/*%
3312.12) */*/*/*%
3313.01) */*/*/*%
3313.02) */*/*/*%
3313.03) */*/*/*%
3313.04) */*/*/*%
3313.05) */*/*/*%
3313.06) */*/*/*%
3313.07) */*/*/*%
3313.08) */*/*/*%
3313.09) */*/*/*%
3313.10) */*/*/*%
3313.11) */*/*/*%
3313.12) */*/*/*%
3314.01) */*/*/*%
3314.02) */*/*/*%
3314.03) */*/*/*%
3314.04) */*/*/*%
3314.05) */*/*/*%
3314.06) */*/*/*%
3314.07) */*/*/*%
3314.08) */*/*/*%
3314.09) */*/*/*%
3314.10) */*/*/*%
3314.11) */*/*/*%
3314.12) */*/*/*%
3315.01) */*/*/*%
3315.02) */*/*/*%
3315.03) */*/*/*%
3315.04) */*/*/*%
3315.05) */*/*/*%
3315.06) */*/*/*%
3315.07) */*/*/*%
3315.08) */*/*/*%
3315.09) */*/*/*%
3315.10) */*/*/*%
3315.11) */*/*/*%
3315.12) */*/*/*%
3316.01) */*/*/*%
3316.02) */*/*/*%
3316.03) */*/*/*%
3316.04) */*/*/*%
3316.05) */*/*/*%
3316.06) */*/*/*%
3316.07) */*/*/*%
3316.08) */*/*/*%
3316.09) */*/*/*%
3316.10) */*/*/*%
3316.11) */*/*/*%
3316.12) */*/*/*%
3317.01) */*/*/*%
3317.02) */*/*/*%
3317.03) */*/*/*%
3317.04) */*/*/*%
3317.05) */*/*/*%
3317.06) */*/*/*%
3317.07) */*/*/*%
3317.08) */*/*/*%
3317.09) */*/*/*%
3317.10) */*/*/*%
3317.11) */*/*/*%
3317.12) */*/*/*%
3318.01) */*/*/*%
3318.02) */*/*/*%
3318.03) */*/*/*%
3318.04) */*/*/*%
3318.05) */*/*/*%
3318.06) */*/*/*%
3318.07) */*/*/*%
3318.08) */*/*/*%
3318.09) */*/*/*%
3318.10) */*/*/*%
3318.11) */*/*/*%
3318.12) */*/*/*%
3319.01) */*/*/*%
3319.02) */*/*/*%
3319.03) */*/*/*%
3319.04) */*/*/*%
3319.05) */*/*/*%
3319.06) */*/*/*%
3319.07) */*/*/*%
3319.08) */*/*/*%
3319.09) */*/*/*%
3319.10) */*/*/*%
3319.11) */*/*/*%
3319.12) */*/*/*%
3320.01) */*/*/*%
3320.02) */*/*/*%
3320.03) */*/*/*%
3320.04) */*/*/*%
3320.05) */*/*/*%
3320.06) */*/*/*%
3320.07) */*/*/*%
3320.08) */*/*/*%
3320.09) */*/*/*%
3320.10) */*/*/*%
3320.11) */*/*/*%
3320.12) */*/*/*%
3321.01) */*/*/*%
3321.02) */*/*/*%
3321.03) */*/*/*%
3321.04) */*/*/*%
3321.05) */*/*/*%
3321.06) */*/*/*%
3321.07) */*/*/*%
3321.08) */*/*/*%
3321.09) */*/*/*%
3321.10) */*/*/*%
3321.11) */*/*/*%
3321.12) */*/*/*%
3322.01) */*/*/*%
3322.02) */*/*/*%
3322.03) */*/*/*%
3322.04) */*/*/*%
3322.05) */*/*/*%
3322.06) */*/*/*%
3322.07) */*/*/*%
3322.08) */*/*/*%
3322.09) */*/*/*%
3322.10) */*/*/*%
3322.11) */*/*/*%
3322.12) */*/*/*%
3323.01) */*/*/*%
3323.02) */*/*/*%
3323.03) */*/*/*%
3323.04) */*/*/*%
3323.05) */*/*/*%
3323.06) */*/*/*%
3323.07) */*/*/*%
3323.08) */*/*/*%
3323.09) */*/*/*%
3323.10) */*/*/*%
3323.11) */*/*/*%
3323.12) */*/*/*%
3324.01) */*/*/*%
3324.02) */*/*/*%
3324.03) */*/*/*%
3324.04) */*/*/*%
3324.05) */*/*/*%
3324.06) */*/*/*%
3324.07) */*/*/*%
3324.08) */*/*/*%
3324.09) */*/*/*%
3324.10) */*/*/*%
3324.11) */*/*/*%
3324.12) */*/*/*%
3325.01) */*/*/*%
3325.02) */*/*/*%
3325.03) */*/*/*%
3325.04) */*/*/*%
3325.05) */*/*/*%
3325.06) */*/*/*%
3325.07) */*/*/*%
3325.08) */*/*/*%
3325.09) */*/*/*%
3325.10) */*/*/*%
3325.11) */*/*/*%
3325.12) */*/*/*%
3326.01) */*/*/*%
3326.02) */*/*/*%
3326.03) */*/*/*%
3326.04) */*/*/*%
3326.05) */*/*/*%
3326.06) */*/*/*%
3326.07) */*/*/*%
3326.08) */*/*/*%
3326.09) */*/*/*%
3326.10) */*/*/*%
3326.11) */*/*/*%
3326.12) */*/*/*%
3327.01) */*/*/*%
3327.02) */*/*/*%
3327.03) */*/*/*%
3327.04) */*/*/*%
3327.05) */*/*/*%
3327.06) */*/*/*%
3327.07) */*/*/*%
3327.08) */*/*/*%
3327.09) */*/*/*%
3327.10) */*/*/*%
3327.11) */*/*/*%
3327.12) */*/*/*%
3328.01) */*/*/*%
3328.02) */*/*/*%
3328.03) */*/*/*%
3328.04) */*/*/*%
3328.05) */*/*/*%
3328.06) */*/*/*%
3328.07) */*/*/*%
3328.08) */*/*/*%
3328.09) */*/*/*%
3328.10) */*/*/*%
3328.11) */*/*/*%
3328.12) */*/*/*%
3329.01) */*/*/*%
3329.02) */*/*/*%
3329.03) */*/*/*%
3329.04) */*/*/*%
3329.05) */*/*/*%
3329.06) */*/*/*%
3329.07) */*/*/*%
3329.08) */*/*/*%
3329.09) */*/*/*%
3329.10) */*/*/*%
3329.11) */*/*/*%
3329.12) */*/*/*%
3330.01) */*/*/*%
3330.02) */*/*/*%
3330.03) */*/*/*%
3330.04) */*/*/*%
3330.05) */*/*/*%
3330.06) */*/*/*%
3330.07) */*/*/*%
3330.08) */*/*/*%
3330.09) */*/*/*%
3330.10) */*/*/*%
3330.11) */*/*/*%
3330.12) */*/*/*%
3331.01) */*/*/*%
3331.02) */*/*/*%
3331.03) */*/*/*%
3331.04) */*/*/*%
3331.05) */*/*/*%
3331.06) */*/*/*%
3331.07) */*/*/*%
3331.08) */*/*/*%
3331.09) */*/*/*%
3331.10) */*/*/*%
3331.11) */*/*/*%
3331.12) */*/*/*%
3332.01) */*/*/*%
3332.02) */*/*/*%
3332.03) */*/*/*%
3332.04) */*/*/*%
3332.05) */*/*/*%
3332.06) */*/*/*%
3332.07) */*/*/*%
3332.08) */*/*/*%
3332.09) */*/*/*%
3332.10) */*/*/*%
3332.11) */*/*/*%
3332.12) */*/*/*%
3333.01) */*/*/*%
3333.02) */*/*/*%
3333.03) */*/*/*%
3333.04) */*/*/*%
3333.05) */*/*/*%
3333.06) */*/*/*%
3333.07) */*/*/*%
3333.08) */*/*/*%
3333.09) */*/*/*%
3333.10) */*/*/*%
3333.11) */*/*/*%
3333.12) */*/*/*%
3334.01) */*/*/*%
3334.02) */*/*/*%
3334.03) */*/*/*%
3334.04) */*/*/*%
3334.05) */*/*/*%
3334.06) */*/*/*%
3334.07) */*/*/*%
3334.08) */*/*/*%
3334.09) */*/*/*%
3334.10) */*/*/*%
3334.11) */*/*/*%
3334.12) */*/*/*%
3335.01) */*/*/*%
3335.02) */*/*/*%
3335.03) */*/*/*%
3335.04) */*/*/*%
3335.05) */*/*/*%
3335.06) */*/*/*%
3335.07) */*/*/*%
3335.08) */*/*/*%
3335.09) */*/*/*%
3335.10) */*/*/*%
3335.11) */*/*/*%
3335.12) */*/*/*%
3336.01) */*/*/*%
3336.02) */*/*/*%
3336.03) */*/*/*%
3336.04) */*/*/*%
3336.05) */*/*/*%
3336.06) */*/*/*%
3336.07) */*/*/*%
3336.08) */*/*/*%
3336.09) */*/*/*%
3336.10) */*/*/*%
3336.11) */*/*/*%
3336.12) */*/*/*%
3337.01) */*/*/*%
3337.02) */*/*/*%
3337.03) */*/*/*%
3337.04) */*/*/*%
3337.05) */*/*/*%
3337.06) */*/*/*%
3337.07) */*/*/*%
3337.08) */*/*/*%
3337.09) */*/*/*%
3337.10) */*/*/*%
3337.11) */*/*/*%
3337.12) */*/*/*%
3338.01) */*/*/*%
3338.02) */*/*/*%
3338.03) */*/*/*%
3338.04) */*/*/*%
3338.05) */*/*/*%
3338.06) */*/*/*%
3338.07) */*/*/*%
3338.08) */*/*/*%
3338.09) */*/*/*%
3338.10) */*/*/*%
3338.11) */*/*/*%
3338.12) */*/*/*%
3339.01) */*/*/*%
3339.02) */*/*/*%
3339.03) */*/*/*%
3339.04) */*/*/*%
3339.05) */*/*/*%
3339.06) */*/*/*%
3339.07) */*/*/*%
3339.08) */*/*/*%
3339.09) */*/*/*%
3339.10) */*/*/*%
3339.11) */*/*/*%
3339.12) */*/*/*%
3340.01) */*/*/*%
3340.02) */*/*/*%
3340.03) */*/*/*%
3340.04) */*/*/*%
3340.05) */*/*/*%
3340.06) */*/*/*%
3340.07) */*/*/*%
3340.08) */*/*/*%
3340.09) */*/*/*%
3340.10) */*/*/*%
3340.11) */*/*/*%
3340.12) */*/*/*%
3341.01) */*/*/*%
3341.02) */*/*/*%
3341.03) */*/*/*%
3341.04) */*/*/*%
3341.05) */*/*/*%
3341.06) */*/*/*%
3341.07) */*/*/*%
3341.08) */*/*/*%
3341.09) */*/*/*%
3341.10) */*/*/*%
3341.11) */*/*/*%
3341.12) */*/*/*%
3342.01) */*/*/*%
3342.02) */*/*/*%
3342.03) */*/*/*%
3342.04) */*/*/*%
3342.05) */*/*/*%
3342.06) */*/*/*%
3342.07) */*/*/*%
3342.08) */*/*/*%
3342.09) */*/*/*%
3342.10) */*/*/*%
3342.11) */*/*/*%
3342.12) */*/*/*%
3343.01) */*/*/*%
3343.02) */*/*/*%
3343.03) */*/*/*%
3343.04) */*/*/*%
3343.05) */*/*/*%
3343.06) */*/*/*%
3343.07) */*/*/*%
3343.08) */*/*/*%
3343.09) */*/*/*%
3343.10) */*/*/*%
3343.11) */*/*/*%
3343.12) */*/*/*%
3344.01) */*/*/*%
3344.02) */*/*/*%
3344.03) */*/*/*%
3344.04) */*/*/*%
3344.05) */*/*/*%
3344.06) */*/*/*%
3344.07) */*/*/*%
3344.08) */*/*/*%
3344.09) */*/*/*%
3344.10) */*/*/*%
3344.11) */*/*/*%
3344.12) */*/*/*%
3345.01) */*/*/*%
3345.02) */*/*/*%
3345.03) */*/*/*%
3345.04) */*/*/*%
3345.05) */*/*/*%
3345.06) */*/*/*%
3345.07) */*/*/*%
3345.08) */*/*/*%
3345.09) */*/*/*%
3345.10) */*/*/*%
3345.11) */*/*/*%
3345.12) */*/*/*%
3346.01) */*/*/*%
3346.02) */*/*/*%
3346.03) */*/*/*%
3346.04) */*/*/*%
3346.05) */*/*/*%
3346.06) */*/*/*%
3346.07) */*/*/*%
3346.08) */*/*/*%
3346.09) */*/*/*%
3346.10) */*/*/*%
3346.11) */*/*/*%
3346.12) */*/*/*%
3347.01) */*/*/*%
3347.02) */*/*/*%
3347.03) */*/*/*%
3347.04) */*/*/*%
3347.05) */*/*/*%
3347.06) */*/*/*%
3347.07) */*/*/*%
3347.08) */*/*/*%
3347.09) */*/*/*%
3347.10) */*/*/*%
3347.11) */*/*/*%
3347.12) */*/*/*%
3348.01) */*/*/*%
3348.02) */*/*/*%
3348.03) */*/*/*%
3348.04) */*/*/*%
3348.05) */*/*/*%
3348.06) */*/*/*%
3348.07) */*/*/*%
3348.08) */*/*/*%
3348.09) */*/*/*%
3348.10) */*/*/*%
3348.11) */*/*/*%
3348.12) */*/*/*%
3349.01) */*/*/*%
3349.02) */*/*/*%
3349.03) */*/*/*%
3349.04) */*/*/*%
3349.05) */*/*/*%
3349.06) */*/*/*%
3349.07) */*/*/*%
3349.08) */*/*/*%
3349.09) */*/*/*%
3349.10) */*/*/*%
3349.11) */*/*/*%
3349.12) */*/*/*%
3350.01) */*/*/*%
3350.02) */*/*/*%
3350.03) */*/*/*%
3350.04) */*/*/*%
3350.05) */*/*/*%
3350.06) */*/*/*%
3350.07) */*/*/*%
3350.08) */*/*/*%
3350.09) */*/*/*%
3350.10) */*/*/*%
3350.11) */*/*/*%
3350.12) */*/*/*%
3351.01) */*/*/*%
3351.02) */*/*/*%
3351.03) */*/*/*%
3351.04) */*/*/*%
3351.05) */*/*/*%
3351.06) */*/*/*%
3351.07) */*/*/*%
3351.08) */*/*/*%
3351.09) */*/*/*%
3351.10) */*/*/*%
3351.11) */*/*/*%
3351.12) */*/*/*%
3352.01) */*/*/*%
3352.02) */*/*/*%
3352.03) */*/*/*%
3352.04) */*/*/*%
3352.05) */*/*/*%
3352.06) */*/*/*%
3352.07) */*/*/*%
3352.08) */*/*/*%
3352.09) */*/*/*%
3352.10) */*/*/*%
3352.11) */*/*/*%
3352.12) */*/*/*%
3353.01) */*/*/*%
3353.02) */*/*/*%
3353.03) */*/*/*%
3353.04) */*/*/*%
3353.05) */*/*/*%
3353.06) */*/*/*%
3353.07) */*/*/*%
3353.08) */*/*/*%
3353.09) */*/*/*%
3353.10) */*/*/*%
3353.11) */*/*/*%
3353.12) */*/*/*%
3354.01) */*/*/*%
3354.02) */*/*/*%
3354.03) */*/*/*%
3354.04) */*/*/*%
3354.05) */*/*/*%
3354.06) */*/*/*%
3354.07) */*/*/*%
3354.08) */*/*/*%
3354.09) */*/*/*%
3354.10) */*/*/*%
3354.11) */*/*/*%
3354.12) */*/*/*%
3355.01) */*/*/*%
3355.02) */*/*/*%
3355.03) */*/*/*%
3355.04) */*/*/*%
3355.05) */*/*/*%
3355.06) */*/*/*%
3355.07) */*/*/*%
3355.08) */*/*/*%
3355.09) */*/*/*%
3355.10) */*/*/*%
3355.11) */*/*/*%
3355.12) */*/*/*%
3356.01) */*/*/*%
3356.02) */*/*/*%
3356.03) */*/*/*%
3356.04) */*/*/*%
3356.05) */*/*/*%
3356.06) */*/*/*%
3356.07) */*/*/*%
3356.08) */*/*/*%
3356.09) */*/*/*%
3356.10) */*/*/*%
3356.11) */*/*/*%
3356.12) */*/*/*%
3357.01) */*/*/*%
3357.02) */*/*/*%
3357.03) */*/*/*%
3357.04) */*/*/*%
3357.05) */*/*/*%
3357.06) */*/*/*%
3357.07) */*/*/*%
3357.08) */*/*/*%
3357.09) */*/*/*%
3357.10) */*/*/*%
3357.11) */*/*/*%
3357.12) */*/*/*%
3358.01) */*/*/*%
3358.02) */*/*/*%
3358.03) */*/*/*%
3358.04) */*/*/*%
3358.05) */*/*/*%
3358.06) */*/*/*%
3358.07) */*/*/*%
3358.08) */*/*/*%
3358.09) */*/*/*%
3358.10) */*/*/*%
3358.11) */*/*/*%
3358.12) */*/*/*%
3359.01) */*/*/*%
3359.02) */*/*/*%
3359.03) */*/*/*%
3359.04) */*/*/*%
3359.05) */*/*/*%
3359.06) */*/*/*%
3359.07) */*/*/*%
3359.08) */*/*/*%
3359.09) */*/*/*%
3359.10) */*/*/*%
3359.11) */*/*/*%
3359.12) */*/*/*%
3360.01) */*/*/*%
3360.02) */*/*/*%
3360.03) */*/*/*%
3360.04) */*/*/*%
3360.05) */*/*/*%
3360.06) */*/*/*%
3360.07) */*/*/*%
3360.08) */*/*/*%
3360.09) */*/*/*%
3360.10) */*/*/*%
3360.11) */*/*/*%
3360.12) */*/*/*%
3361.01) */*/*/*%
3361.02) */*/*/*%
3361.03) */*/*/*%
3361.04) */*/*/*%
3361.05) */*/*/*%
3361.06) */*/*/*%
3361.07) */*/*/*%
3361.08) */*/*/*%
3361.09) */*/*/*%
3361.10) */*/*/*%
3361.11) */*/*/*%
3361.12) */*/*/*%
3362.01) */*/*/*%
3362.02) */*/*/*%
3362.03) */*/*/*%
3362.04) */*/*/*%
3362.05) */*/*/*%
3362.06) */*/*/*%
3362.07) */*/*/*%
3362.08) */*/*/*%
3362.09) */*/*/*%
3362.10) */*/*/*%
3362.11) */*/*/*%
3362.12) */*/*/*%
3363.01) */*/*/*%
3363.02) */*/*/*%
3363.03) */*/*/*%
3363.04) */*/*/*%
3363.05) */*/*/*%
3363.06) */*/*/*%
3363.07) */*/*/*%
3363.08) */*/*/*%
3363.09) */*/*/*%
3363.10) */*/*/*%
3363.11) */*/*/*%
3363.12) */*/*/*%
3364.01) */*/*/*%
3364.02) */*/*/*%
3364.03) */*/*/*%
3364.04) */*/*/*%
3364.05) */*/*/*%
3364.06) */*/*/*%
3364.07) */*/*/*%
3364.08) */*/*/*%
3364.09) */*/*/*%
3364.10) */*/*/*%
3364.11) */*/*/*%
3364.12) */*/*/*%
3365.01) */*/*/*%
3365.02) */*/*/*%
3365.03) */*/*/*%
3365.04) */*/*/*%
3365.05) */*/*/*%
3365.06) */*/*/*%
3365.07) */*/*/*%
3365.08) */*/*/*%
3365.09) */*/*/*%
3365.10) */*/*/*%
3365.11) */*/*/*%
3365.12) */*/*/*%
3366.01) */*/*/*%
3366.02) */*/*/*%
3366.03) */*/*/*%
3366.04) */*/*/*%
3366.05) */*/*/*%
3366.06) */*/*/*%
3366.07) */*/*/*%
3366.08) */*/*/*%
3366.09) */*/*/*%
3366.10) */*/*/*%
3366.11) */*/*/*%
3366.12) */*/*/*%
3367.01) */*/*/*%
3367.02) */*/*/*%
3367.03) */*/*/*%
3367.04) */*/*/*%
3367.05) */*/*/*%
3367.06) */*/*/*%
3367.07) */*/*/*%
3367.08) */*/*/*%
3367.09) */*/*/*%
3367.10) */*/*/*%
3367.11) */*/*/*%
3367.12) */*/*/*%
3368.01) */*/*/*%
3368.02) */*/*/*%
3368.03) */*/*/*%
3368.04) */*/*/*%
3368.05) */*/*/*%
3368.06) */*/*/*%
3368.07) */*/*/*%
3368.08) */*/*/*%
3368.09) */*/*/*%
3368.10) */*/*/*%
3368.11) */*/*/*%
3368.12) */*/*/*%
3369.01) */*/*/*%
3369.02) */*/*/*%
3369.03) */*/*/*%
3369.04) */*/*/*%
3369.05) */*/*/*%
3369.06) */*/*/*%
3369.07) */*/*/*%
3369.08) */*/*/*%
3369.09) */*/*/*%
3369.10) */*/*/*%
3369.11) */*/*/*%
3369.12) */*/*/*%
3370.01) */*/*/*%
3370.02) */*/*/*%
3370.03) */*/*/*%
3370.04) */*/*/*%
3370.05) */*/*/*%
3370.06) */*/*/*%
3370.07) */*/*/*%
3370.08) */*/*/*%
3370.09) */*/*/*%
3370.10) */*/*/*%
3370.11) */*/*/*%
3370.12) */*/*/*%
3371.01) */*/*/*%
3371.02) */*/*/*%
3371.03) */*/*/*%
3371.04) */*/*/*%
3371.05) */*/*/*%
3371.06) */*/*/*%
3371.07) */*/*/*%
3371.08) */*/*/*%
3371.09) */*/*/*%
3371.10) */*/*/*%
3371.11) */*/*/*%
3371.12) */*/*/*%
3372.01) */*/*/*%
3372.02) */*/*/*%
3372.03) */*/*/*%
3372.04) */*/*/*%
3372.05) */*/*/*%
3372.06) */*/*/*%
3372.07) */*/*/*%
3372.08) */*/*/*%
3372.09) */*/*/*%
3372.10) */*/*/*%
3372.11) */*/*/*%
3372.12) */*/*/*%
3373.01) */*/*/*%
3373.02) */*/*/*%
3373.03) */*/*/*%
3373.04) */*/*/*%
3373.05) */*/*/*%
3373.06) */*/*/*%
3373.07) */*/*/*%
3373.08) */*/*/*%
3373.09) */*/*/*%
3373.10) */*/*/*%
3373.11) */*/*/*%
3373.12) */*/*/*%
3374.01) */*/*/*%
3374.02) */*/*/*%
3374.03) */*/*/*%
3374.04) */*/*/*%
3374.05) */*/*/*%
3374.06) */*/*/*%
3374.07) */*/*/*%
3374.08) */*/*/*%
3374.09) */*/*/*%
3374.10) */*/*/*%
3374.11) */*/*/*%
3374.12) */*/*/*%
3375.01) */*/*/*%
3375.02) */*/*/*%
3375.03) */*/*/*%
3375.04) */*/*/*%
3375.05) */*/*/*%
3375.06) */*/*/*%
3375.07) */*/*/*%
3375.08) */*/*/*%
3375.09) */*/*/*%
3375.10) */*/*/*%
3375.11) */*/*/*%
3375.12) */*/*/*%
3376.01) */*/*/*%
3376.02) */*/*/*%
3376.03) */*/*/*%
3376.04) */*/*/*%
3376.05) */*/*/*%
3376.06) */*/*/*%
3376.07) */*/*/*%
3376.08) */*/*/*%
3376.09) */*/*/*%
3376.10) */*/*/*%
3376.11) */*/*/*%
3376.12) */*/*/*%
3377.01) */*/*/*%
3377.02) */*/*/*%
3377.03) */*/*/*%
3377.04) */*/*/*%
3377.05) */*/*/*%
3377.06) */*/*/*%
3377.07) */*/*/*%
3377.08) */*/*/*%
3377.09) */*/*/*%
3377.10) */*/*/*%
3377.11) */*/*/*%
3377.12) */*/*/*%
3378.01) */*/*/*%
3378.02) */*/*/*%
3378.03) */*/*/*%
3378.04) */*/*/*%
3378.05) */*/*/*%
3378.06) */*/*/*%
3378.07) */*/*/*%
3378.08) */*/*/*%
3378.09) */*/*/*%
3378.10) */*/*/*%
3378.11) */*/*/*%
3378.12) */*/*/*%
3379.01) */*/*/*%
3379.02) */*/*/*%
3379.03) */*/*/*%
3379.04) */*/*/*%
3379.05) */*/*/*%
3379.06) */*/*/*%
3379.07) */*/*/*%
3379.08) */*/*/*%
3379.09) */*/*/*%
3379.10) */*/*/*%
3379.11) */*/*/*%
3379.12) */*/*/*%
3380.01) */*/*/*%
3380.02) */*/*/*%
3380.03) */*/*/*%
3380.04) */*/*/*%
3380.05) */*/*/*%
3380.06) */*/*/*%
3380.07) */*/*/*%
3380.08) */*/*/*%
3380.09) */*/*/*%
3380.10) */*/*/*%
3380.11) */*/*/*%
3380.12) */*/*/*%
3381.01) */*/*/*%
3381.02) */*/*/*%
3381.03) */*/*/*%
3381.04) */*/*/*%
3381.05) */*/*/*%
3381.06) */*/*/*%
3381.07) */*/*/*%
3381.08) */*/*/*%
3381.09) */*/*/*%
3381.10) */*/*/*%
3381.11) */*/*/*%
3381.12) */*/*/*%
3382.01) */*/*/*%
3382.02) */*/*/*%
